fips,county_name,households,population
48141,"El Paso County, TX",296341,875784
48143,"Erath County, TX",16379,44496
48145,"Falls County, TX",6009,17752
48147,"Fannin County, TX",12793,38650
48149,"Fayette County, TX",9855,25488
48151,"Fisher County, TX",1590,3665
48153,"Floyd County, TX",1939,5042
48155,"Foard County, TX",421,1053
48157,"Fort Bend County, TX",281259,958434
48159,"Franklin County, TX",3942,10912
48161,"Freestone County, TX",6867,20645
48163,"Frio County, TX",5144,19520
48165,"Gaines County, TX",7057,22892
48167,"Galveston County, TX",138666,367407
48169,"Garza County, TX",1433,4645
48171,"Gillespie County, TX",11272,28159
48173,"Glasscock County, TX",441,1153
48175,"Goliad County, TX",2800,7221
48177,"Gonzales County, TX",7656,20040
48179,"Gray County, TX",7926,20888
48181,"Grayson County, TX",53325,150532
48183,"Gregg County, TX",47330,126679
48185,"Grimes County, TX",10289,33448
48187,"Guadalupe County, TX",62953,195166
48189,"Hale County, TX",11034,31953
48191,"Hall County, TX",1158,2828
48193,"Hamilton County, TX",3134,8644
48195,"Hansford County, TX",1827,5006
48197,"Hardeman County, TX",1298,3417
48199,"Hardin County, TX",21750,58670
48201,"Harris County, TX",1728103,5009302
48203,"Harrison County, TX",25599,71370
48205,"Hartley County, TX",1635,4996
48207,"Haskell County, TX",2108,5435
48209,"Hays County, TX",94499,292029
48211,"Hemphill County, TX",1368,3134
48213,"Henderson County, TX",32597,87467
48215,"Hidalgo County, TX",264128,914820
48217,"Hill County, TX",13457,38771
48219,"Hockley County, TX",8058,21505
48221,"Hood County, TX",24988,69126
48223,"Hopkins County, TX",13878,38784
48225,"Houston County, TX",7795,22197
48227,"Howard County, TX",11927,30833
48229,"Hudspeth County, TX",847,3608
48231,"Hunt County, TX",37549,118729
48233,"Hutchinson County, TX",6944,19721
48235,"Irion County, TX",606,1526
48237,"Jack County, TX",2915,9398
48239,"Jackson County, TX",5424,15284
48241,"Jasper County, TX",13667,32907
48243,"Jeff Davis County, TX",847,1778
48245,"Jefferson County, TX",93646,253948
48247,"Jim Hogg County, TX",1221,4583
48249,"Jim Wells County, TX",13298,38886
48251,"Johnson County, TX",63477,210547
48253,"Jones County, TX",6028,20850
48255,"Karnes County, TX",4643,15137
48257,"Kaufman County, TX",49703,197829
48259,"Kendall County, TX",17249,51828
48261,"Kenedy County, TX",17,330
48263,"Kent County, TX",274,703
48265,"Kerr County, TX",22267,53900
48267,"Kimble County, TX",1858,4401
48269,"King County, TX",90,215
48271,"Kinney County, TX",1180,3191
48273,"Kleberg County, TX",11794,30442
48275,"Knox County, TX",1256,3255
48277,"Lamar County, TX",20056,51249
48279,"Lamb County, TX",4644,12687
48281,"Lampasas County, TX",8147,23539
48283,"La Salle County, TX",1683,6679
48285,"Lavaca County, TX",8370,20605
48287,"Lee County, TX",6720,18451
48289,"Leon County, TX",6546,16698
48291,"Liberty County, TX",30009,115042
48293,"Limestone County, TX",8318,22569
48295,"Lipscomb County, TX",1101,2880
48297,"Live Oak County, TX",4210,11967
48299,"Llano County, TX",10218,23163
48301,"Loving County, TX",36,48
48303,"Lubbock County, TX",124045,327394
48305,"Lynn County, TX",2066,5952
48307,"McCulloch County, TX",3072,7448
48309,"McLennan County, TX",95966,270358
48311,"McMullen County, TX",168,565
48313,"Madison County, TX",4140,13877
48315,"Marion County, TX",4201,9704
48317,"Martin County, TX",2033,5179
48319,"Mason County, TX",1550,3987
48321,"Matagorda County, TX",14824,36391
48323,"Maverick County, TX",18320,58829
48325,"Medina County, TX",17479,55619
48327,"Menard County, TX",833,1911
48329,"Midland County, TX",67057,183587
48331,"Milam County, TX",10049,26159
48333,"Mills County, TX",1845,4563
48335,"Mitchell County, TX",2561,8968
48337,"Montague County, TX",8142,21890
48339,"Montgomery County, TX",235474,749613
48341,"Moore County, TX",7275,21872
48343,"Morris County, TX",5038,12184
48345,"Motley County, TX",476,1015
48347,"Nacogdoches County, TX",25114,65728
48349,"Navarro County, TX",18484,56533
48351,"Newton County, TX",4898,11908
48353,"Nolan County, TX",5834,14182
48355,"Nueces County, TX",130770,353125
48357,"Ochiltree County, TX",3758,9717
48359,"Oldham County, TX",631,1823
48361,"Orange County, TX",31847,86115
48363,"Palo Pinto County, TX",10951,30231
48365,"Panola County, TX",8486,23022
48367,"Parker County, TX",54237,179707
48369,"Parmer County, TX",3183,9669
48371,"Pecos County, TX",5108,14712
48373,"Polk County, TX",18575,54258
48375,"Potter County, TX",42363,114649
48377,"Presidio County, TX",2340,5686
48379,"Rains County, TX",4723,13306
48381,"Randall County, TX",55758,150547
48383,"Reagan County, TX",1046,3139
48385,"Real County, TX",1021,2772
48387,"Red River County, TX",4993,11696
48389,"Reeves County, TX",4145,11956
48391,"Refugio County, TX",2372,6739
48393,"Roberts County, TX",303,837
48395,"Robertson County, TX",6480,17659
